statements,predicted_class_1,predicted_class_2
Auf allen Autobahnen soll ein generelles Tempolimit gelten.,411 - Technology and Infrastructure,501 - Environmental Protection: Positive
Deutschland soll seine Verteidigungsausgaben erhöhen.,104 - Military: Positive,105 - Military: Negative
Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,202 - Democracy,706 - Non-economic Demographic Groups
Die Förderung von Windenergie soll beendet werden.,501 - Environmental Protection: Positive,416 - Anti-Growth Economy: Positive
"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",412 - Controlled Economy,403 - Market Regulation
Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,403 - Market Regulation,411 - Technology and Infrastructure
Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,501 - Environmental Protection: Positive,416 - Anti-Growth Economy: Positive
Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,504 - Welfare State Expansion,503 - Equality: Positive
Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,608 - Multiculturalism: Negative,601 - National Way of Life: Positive
"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",403 - Market Regulation,412 - Controlled Economy
"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",603 - Traditional Morality: Positive,604 - Traditional Morality: Negative
Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,304 - Political Corruption,202 - Democracy
Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,503 - Equality: Positive,504 - Welfare State Expansion
"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",607 - Multiculturalism: Positive,705 - Underprivileged Minority Groups
Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.,503 - Equality: Positive,604 - Traditional Morality: Negative
"Die Ostsee-Pipeline „Nord Stream 2“, die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen.",411 - Technology and Infrastructure,107 - Internationalism: Positive
Der Solidaritätszuschlag soll vollständig abgeschafft werden.,505 - Welfare State Limitation,504 - Welfare State Expansion
Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.,607 - Multiculturalism: Positive,604 - Traditional Morality: Negative
Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,501 - Environmental Protection: Positive,411 - Technology and Infrastructure
Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.,302 - Centralisation,301 - Federalism
Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.,503 - Equality: Positive,605 - Law and Order: Positive
Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.,403 - Market Regulation,406 - Protectionism: Positive
Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.,604 - Traditional Morality: Negative,603 - Traditional Morality: Positive
Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.,604 - Traditional Morality: Negative,401 - Free Market Economy
Deutschland soll aus der Europäischen Union austreten.,110 - European Community/Union: Negative,108 - European Community/Union: Positive
Die Landeslisten der Parteien für die Wahlen zum Deutschen Bundestag sollen abwechselnd mit Frauen und Männern besetzt werden müssen.,503 - Equality: Positive,202 - Democracy
Stationäre Behandlungen im Krankenhaus sollen weiterhin über eine Fallpauschale abgerechnet werden.,504 - Welfare State Expansion,503 - Equality: Positive
Auf hohe Vermögen soll wieder eine Steuer erhoben werden.,503 - Equality: Positive,412 - Controlled Economy
Bei der Videoüberwachung öffentlicher Plätze soll Gesichtserkennungssoftware eingesetzt werden dürfen.,605 - Law and Order: Positive,201 - Freedom and Human Rights
Auch Ehepaare ohne Kinder sollen weiterhin steuerlich begünstigt werden.,604 - Traditional Morality: Negative,603 - Traditional Morality: Positive
Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,703 - Agriculture and Farmers: Positive,501 - Environmental Protection: Positive
Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.,607 - Multiculturalism: Positive,201 - Freedom and Human Rights
Der staatlich festgelegte Preis für den Ausstoß von CO2 beim Heizen und Autofahren soll stärker steigen als geplant.,501 - Environmental Protection: Positive,412 - Controlled Economy
Die Schuldenbremse im Grundgesetz soll beibehalten werden.,414 - Economic Orthodoxy,409 - Keynesian Demand Management
Asyl soll weiterhin nur politisch Verfolgten gewährt werden.,601 - National Way of Life: Positive,605 - Law and Order: Positive
Der gesetzliche Mindestlohn soll spätestens im Jahr 2022 auf mindestens 12 Euro erhöht werden.,412 - Controlled Economy,701 - Labour Groups: Positive
Der Flugverkehr soll höher besteuert werden.,501 - Environmental Protection: Positive,416 - Anti-Growth Economy: Positive
"Unternehmen sollen selbst entscheiden, ob sie ihren Beschäftigten das Arbeiten im Homeoffice erlauben.",401 - Free Market Economy,701 - Labour Groups: Positive
